name,if,else,loop,add,sub,mul,div,and,or,not,bigger,smaller,equal,dot,long,double,int,char,unsigned,void,str,num
0008a14c9d0344bb,12,1,2,16,3,0,0,9,0,0,1,3,54,0,0,0,6,0,0,0,16,12
00226cdf845245a8,3,2,0,3,0,3,3,0,0,0,0,0,9,0,0,0,5,0,0,0,21,8
0031a6851b154879,2,0,3,8,4,2,0,0,0,0,2,3,10,11,0,9,5,0,0,0,14,4
00329e972bd94ff7,2,1,2,8,0,0,0,3,0,0,3,4,11,0,0,0,6,0,0,0,8,12
003662086f5b4b87,2,0,1,6,2,4,1,0,0,0,1,1,12,0,0,0,7,1,0,0,6,6
003b27839872418f,1,1,1,3,0,3,3,0,0,0,3,2,4,0,0,0,1,0,0,0,19,7
003c4f20c7894046,0,0,0,0,2,2,5,0,0,0,0,0,12,0,0,0,7,0,0,0,14,25
00409742656b4db4,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,4,0,0,0,14,44
004661a710794715,0,0,0,0,6,6,6,0,0,0,0,0,12,0,0,0,2,0,0,0,14,20
0046bfb80e6a49ee,6,2,2,12,6,0,0,0,0,0,1,3,12,0,0,0,6,0,0,0,11,8
0047590d313a4821,0,0,3,6,5,0,1,0,0,1,0,2,10,0,0,0,2,3,0,0,2,2
0049940ab81a4de7,1,0,3,9,1,0,1,0,0,1,0,3,9,0,0,0,5,0,0,0,4,13
004b5b4d028546f4,1,1,2,14,1,7,0,1,0,0,0,6,12,1,0,0,3,4,0,0,2,9
005c1d0c9e62451e,3,3,5,10,0,0,0,1,0,1,0,7,11,0,0,0,11,0,0,0,15,12
0072cd6001834fc7,3,0,4,14,7,1,0,0,0,1,6,4,12,0,0,0,7,0,0,2,0,20
007f79fea6454f53,0,0,6,12,12,0,0,0,0,0,6,0,18,0,0,0,7,0,0,0,14,22
008701360dfe4f5f,0,0,0,0,5,0,5,0,0,0,2,22,11,0,0,0,7,0,0,0,0,30
0087f727492e4d19,2,2,4,9,1,0,0,3,0,0,9,10,20,0,0,0,9,0,0,0,0,16
008964d1bb20422b,2,1,1,2,2,0,0,1,0,3,0,0,4,0,0,0,1,1,0,0,4,0
008c44901cbd4694,0,0,1,2,10,9,5,0,0,0,0,1,8,0,0,0,3,0,0,0,4,49
00953476e72f4ba0,4,1,4,12,3,0,0,0,0,1,2,10,22,1,0,0,6,2,0,0,5,12
009728e1c46f4424,2,2,1,2,0,2,2,0,0,1,0,0,10,0,0,0,5,0,0,0,24,5
