name,if,else,loop,add,sub,mul,div,and,or,not,bigger,smaller,equal,dot,long,double,int,char,unsigned,void,str,num
2acca2d5d35e41ab,5,1,2,4,5,0,0,1,0,1,6,9,14,0,0,0,9,0,0,0,8,5
3ed9aea014ce4056,4,0,1,4,0,2,1,1,0,3,1,2,9,0,0,0,4,0,0,0,4,11
5aa6cbe2493d4353,1,0,6,16,11,0,0,0,0,2,0,5,15,26,0,0,5,3,0,0,8,16
ce9f012a7b0141b7,1,1,0,6,10,18,4,0,0,0,0,1,6,3,0,18,0,0,0,0,32,27
cd2a8082020f458b,2,1,4,16,0,0,0,1,0,0,2,4,19,7,0,0,10,1,0,0,10,16
791e4cbff4b343ce,2,1,1,6,3,1,0,0,0,0,2,11,10,1,0,0,3,3,0,0,7,12
49d14d52a7304780,2,0,14,53,15,22,0,0,0,0,4,20,39,0,0,0,8,0,0,0,0,11
beb7328f25e44a6a,0,0,3,8,2,1,2,0,0,0,0,3,15,1,0,5,4,0,0,0,11,19
2a4c384ed93c4228,2,2,1,4,1,2,0,3,2,0,3,3,11,0,0,0,3,0,0,0,4,13
2bb42f3c475e453b,3,2,2,6,1,0,0,6,5,0,5,7,25,0,0,0,6,1,0,0,19,16
8aab2700063f4fc3,5,4,2,6,0,0,0,1,0,1,0,3,30,0,0,0,11,0,0,0,13,25
eff6d8bd5de24571,1,1,1,5,2,0,0,1,0,1,1,1,6,0,0,0,3,1,0,0,6,4
9db5c9c1d2a34a57,3,1,3,8,3,0,0,0,0,3,1,1,14,0,0,0,4,5,0,2,9,6
b020b4471e054f9d,3,1,1,4,3,0,0,0,0,0,0,1,8,0,0,0,3,0,0,0,6,42
4172f2fd5b674038,0,0,5,12,2,1,2,0,0,0,0,5,11,1,0,4,5,0,0,0,12,10
3c0f84627cf64dbc,2,0,5,9,2,2,2,0,0,0,0,3,20,0,0,0,7,0,0,0,12,20
b2602c4a4d474848,2,0,2,4,2,0,0,0,0,1,0,2,13,0,0,0,5,0,0,0,10,5
e94297613e914ea9,7,2,4,6,3,0,2,1,1,1,1,3,32,0,0,0,15,0,0,0,11,12
9315b727848f4ae9,4,1,7,17,2,1,2,0,0,2,0,5,34,0,0,0,15,0,0,0,11,34
790a7528fb49492f,0,0,2,4,0,0,0,2,0,2,0,1,6,0,0,0,4,0,0,0,6,1
82436921433542ec,3,1,2,5,0,0,1,1,0,1,4,7,13,0,0,0,9,0,0,0,0,1
afe75a55953c47a4,4,0,6,13,2,0,0,1,0,2,1,4,17,0,0,0,9,0,0,0,10,6
55cc44842d5641b4,6,0,2,13,2,17,0,4,0,0,9,3,19,11,0,0,5,3,0,0,22,36
265630f2202840c8,3,0,3,9,4,0,0,0,0,0,0,1,14,0,0,0,4,2,0,0,2,4
23c9f25c9c144c12,1,1,1,4,2,0,0,0,0,0,0,1,6,0,0,0,4,1,0,0,6,0
418ece452eb347ff,1,0,3,6,0,0,0,0,0,0,4,11,8,0,0,0,6,0,0,0,0,11
56d6ac9a513c449c,0,0,2,2,4,1,0,0,0,0,1,1,4,0,0,0,4,1,0,0,8,0
